COMID,StreamOrde,Roughness
207863,1,0.2
207787,1,0.2
206685,1,0.2
206477,1,0.2
206841,1,0.2
206863,1,0.2
206895,1,0.2
207311,1,0.2
207309,1,0.2
207307,1,0.2
206561,1,0.2
206583,1,0.2
206479,1,0.2
206515,1,0.2
206555,1,0.2
206467,1,0.2
206595,1,0.2
206585,1,0.2
207481,1,0.2
206887,1,0.2
206901,1,0.2
207121,1,0.2
206603,1,0.2
206873,1,0.2
33771761,1,0.2
206927,2,0.1
206919,2,0.1
207739,2,0.1
207779,2,0.1
207847,2,0.1
206527,1,0.2
206713,1,0.2
206793,1,0.2
206795,1,0.2
206747,1,0.2
206761,1,0.2
206765,1,0.2
206791,1,0.2
206891,1,0.2
207143,1,0.2
203751,3,0.065
203757,3,0.065
203743,3,0.065
206907,1,0.2
207859,2,0.1
206373,2,0.1
207215,2,0.1
207219,2,0.1
206415,2,0.1
207217,2,0.1
206379,2,0.1
207223,2,0.1
206421,2,0.1
207225,2,0.1
206405,2,0.1
206425,2,0.1
207221,2,0.1
206495,2,0.1
207253,2,0.1
206617,2,0.1
207265,2,0.1
206625,2,0.1
207259,2,0.1
206627,2,0.1
207269,2,0.1
206613,2,0.1
207247,2,0.1
206611,2,0.1
207277,2,0.1
206661,2,0.1
207289,2,0.1
206657,2,0.1
206689,2,0.1
207285,2,0.1
207271,2,0.1
206599,2,0.1
207245,2,0.1
206593,2,0.1
207257,2,0.1
206635,2,0.1
207261,2,0.1
206587,2,0.1
206629,1,0.2
207255,1,0.2
206631,1,0.2
207249,1,0.2
206549,1,0.2
206553,1,0.2
207243,1,0.2
206605,1,0.2
207263,1,0.2
206639,1,0.2
207279,1,0.2
206683,1,0.2
207297,1,0.2
206697,1,0.2
207287,1,0.2
206691,1,0.2
207275,1,0.2
206701,1,0.2
206695,1,0.2
206673,1,0.2
206671,1,0.2
207283,1,0.2
207281,1,0.2
207291,1,0.2
207293,1,0.2
206663,1,0.2
207295,1,0.2
206723,1,0.2
206481,1,0.2
207267,1,0.2
206637,1,0.2
206567,2,0.1
206521,2,0.1
206519,2,0.1
207235,2,0.1
210085,1,0.2
206491,1,0.2
207441,1,0.2
207233,1,0.2
206471,1,0.2
207227,1,0.2
206453,3,0.065
206445,2,0.1
206487,2,0.1
206463,2,0.1
207449,1,0.2
207477,1,0.2
207517,2,0.1
210073,2,0.1
207519,2,0.1
207521,1,0.2
206899,1,0.2
206897,1,0.2
207793,2,0.1
207873,2,0.1
209989,2,0.1
206881,1,0.2
206857,1,0.2
210051,1,0.2
206903,1,0.2
206889,2,0.1
210025,1,0.2
210029,1,0.2
210033,1,0.2
210037,1,0.2
210041,1,0.2
